"filename", "language", "JSON", "C++", "HTML", "Dart", "YAML", "CMake", "Swift", "Markdown", "XML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\ethan\OneDrive\Desktop\Unisara App\lib\utils\my_textfield.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\ethan\OneDrive\Desktop\Unisara App\lib\utils\square_tile.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\ethan\OneDrive\Desktop\Unisara App\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\ethan\OneDrive\Desktop\Unisara App\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ethan\OneDrive\Desktop\Unisara App\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\ethan\OneDrive\Desktop\Unisara App\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ethan\OneDrive\Desktop\Unisara App\linux\my_application.cc", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\ethan\OneDrive\Desktop\Unisara App\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\ethan\OneDrive\Desktop\Unisara App\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Users\ethan\OneDrive\Desktop\Unisara App\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ethan\OneDrive\Desktop\Unisara App\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ethan\OneDrive\Desktop\Unisara App\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\ethan\OneDrive\Desktop\Unisara App\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\ethan\OneDrive\Desktop\Unisara App\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\ethan\OneDrive\Desktop\Unisara App\pubspec.yaml", "YAML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 11, 39
"c:\Users\ethan\OneDrive\Desktop\Unisara App\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 7, 28
"c:\Users\ethan\OneDrive\Desktop\Unisara App\web\index.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\ethan\OneDrive\Desktop\Unisara App\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ethan\OneDrive\Desktop\Unisara App\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
